,Topic,Education,Technology & Society,Cities,Arts,Government & Power,Intellectual Endeavors,Philosophical
0,General welfare of people as the surest indicator of a great nation (6),0,0,0,0,0,0,0
1,Claim: Knowing about the past cannot help people to make important decisions today.;Reason: The world today is significantly more complex than it was even in the relatively recent past.,0,0,0,0,0,0,0
2,Government and scientific research (2),0,0,0,0,0,0,0
3,"To be an effective leader, a public official must maintain the highest ethical and moral standards. (x2)",0,0,0,0,0,0,0
4,Government officials should rely on their own judgment rather than unquestioningly carry out the will of the people they serve.,0,0,0,0,0,0,0
5,"To be an effective leader, a public official must maintain the highest ethical and moral standards.",0,0,0,0,0,0,0
6,"As people rely more and more on technology to solve problems, the ability of humans to think for themselves will surely deteriorate.",0,0,0,0,0,0,0
7,"Claim: Researchers should not limit their investigations to only those areas in which they expect to discover something that has an immediate, practical application.Reason: It is impossible to predict the outcome of a line of research with any certainty.",0,0,0,0,0,0,0
8,A nation should require all of its students to study the same national curriculum until they enter college. (x3),0,0,0,0,0,0,0
9,People's behavior is largely determined by forces not of their own making.,0,0,0,0,0,0,0
10,Educational institutions should actively encourage their students to choose fields of study in which jobs are plentiful. (x2),0,0,0,0,0,0,0
11,Some people believe that universities should require every student to take a variety of courses outside the student’s field of study. Others believe that universities should not force students to take any courses other than those that will help prepare them for jobs in their chosen fields.,0,0,0,0,0,0,0
12,All parents should be required to volunteer time to their children’s schools. (x2),0,0,0,0,0,0,0
13,We can usually learn much more from people whose views we share than from people whose views contradict our own. (x2),0,0,0,0,0,0,0
14,The primary goal of technological advancement should be to increase people’s efficiency so that they have more leisure time.,0,0,0,0,0,0,0
15,"In any profession—business, politics, education, government—those in power should step down after five years.",0,0,0,0,0,0,0
16,"Claim: The surest indicator of a great nation must be the achievements of its rulers, artists, or scientists.Reason: Great achievements by a nation's rulers, artists, or scientists will ensure a good life for the majority of that nation's people.",0,0,0,0,0,0,0
17,Government and free education (2),0,0,0,0,0,0,0
18,It is more harmful to compromise one's own beliefs than to adhere to them.,0,0,0,0,0,0,0
19,Some people claim that a nation’s government should preserve its wilderness areas in their natural state. Others argue that these areas should be developed for potential economic gain.,0,0,0,0,0,0,0
20,"The general welfare of a nation's people is a better indication of that nation's greatness than are the achievements of its rulers, artists, or scientists.",0,0,0,0,0,0,0
21,Claim: Many problems of modern society cannot be solved by laws and the legal system. Reason: Laws cannot change what is in people’s hearts or minds.,0,0,0,0,0,0,0
22,Claim: Major policy decisions should always be left to politicians and other government experts.Reason: Politicians and other government experts are more informed and thus have better judgment and perspective than do members of the general public.,0,0,0,0,0,0,0
23,The effectiveness of a country's leaders is best measured by examining the well-being of that country's citizens.,0,0,0,0,0,0,0
24,"Claim: Researchers should not limit their investigations to only those areas in which they expect to discover something that has an immediate, practical application.;Reason: It is impossible to predict the outcome of a line of research with any certainty.",0,0,0,0,0,0,0
25,A nation should require all of its students to study the same national curriculum until they enter college.,0,0,0,0,0,0,0
26,"Claim: In any field—business, politics, education, government—those in power should step down after five years. Reason: The surest path to success for any enterprise is revitalization through new leadership. (x3)",0,0,0,0,0,0,0
27,Well-rounded (5),0,0,0,0,0,0,0
28,Environment vs economy (2),0,0,0,0,0,0,0
29,Competition (2),0,0,0,0,0,0,0
30,"Claim: When planning courses, educators should take into account the interests and suggestions of their students.Reason: Students are more motivated to learn when they are interested in what they are studying.",0,0,0,0,0,0,0
31,"Young people should be encouraged to pursue long-term, realistic goals rather than seek immediate fame and recognition.",0,0,0,0,0,0,0
32,"Claim: Nations should suspend government funding for the arts when significant numbers of their citizens are hungry or unemployed.Reason: It is inappropriate—and, perhaps, even cruel—to use public resources to fund the arts when people's basic needs are not being met.",0,0,0,0,0,0,0
33,human’s limit (2),0,0,0,0,0,0,0
34,Claim: Colleges and universities should specify all required courses and eliminate elective courses in order to provide clear guidance for students.Reason: College students—like people in general—prefer to follow directions rather than make their own decisions.,0,0,0,0,0,0,0
35,Educators should take students' interests into account when planning the content of the courses they teach.,0,0,0,0,0,0,0
36,Governments should not fund any scientific research whose consequences are unclear. (x2),0,0,0,0,0,0,0
37,Teachers’ salaries should be based on their students’ academic performance. (x2),0,0,0,0,0,0,0
38,"Educators should base their assessment of students' learning not on students' grasp of facts but on the ability to explain the ideas, trends, and concepts that those facts illustrate.",0,0,0,0,0,0,0
39,Does the past help? (3),0,0,0,0,0,0,0
40,Claim: It is no longer possible for a society to regard any living man or woman as a hero.Reason: The reputation of anyone who is subjected to media scrutiny will eventually be diminished.,0,0,0,0,0,0,0
41,Heroes and role models reveal a society’s highest ideals (2),0,0,0,0,0,0,0
42,Claim: Imagination is a more valuable asset than experience.;Reason: People who lack experience are free to imagine what is possible without the constraints of established habits and attitudes.,0,0,0,0,0,0,0
43,Critical judgment of work in any given field has little value unless it comes from someone who is an expert in that field.,0,0,0,0,0,0,0
44,"Claim: Any piece of information referred to as a fact should be mistrusted, since it may well be proven false in the future.Reason: Much of the information that people assume is factual actually turns out to be inaccurate.",0,0,0,0,0,0,0
45,Teachers' salaries should be based on their students' academic performance.,0,0,0,0,0,0,0
46,"Claim: The surest indicator of a great nation must be the achievements of its rulers, artists, or scientists. Reason: Great achievements by a nation’s rulers, artists, or scientists will ensure a good life for the majority of that nation’s people.",0,0,0,0,0,0,0
47,Educational institutions should actively encourage their students to choose fields of study that will prepare them for lucrative careers.,0,0,0,0,0,0,0
48,Claim: Universities should require every student to take a variety of courses outside the student's major field of study.Reason: Acquiring knowledge of various academic disciplines is the best way to become truly educated.,0,0,0,0,0,0,0
49,The effectiveness of a country’s leaders is best measured by examining the well-being of that country’s citizens. (x2),0,0,0,0,0,0,0
50,Some people claim that the goal of politics should be the pursuit of an ideal. Others argue that the goal should be finding common ground and reaching reasonable consensus.,0,0,0,0,0,0,0
51,It is primarily in cities that a nation’s cultural traditions are generated and preserved.,0,0,0,0,0,0,0
52,People’s attitudes are determined more by their immediate situation or surroundings than by society as a whole.,0,0,0,0,0,0,0
53,Some people believe that universities should require every student to take a variety of courses outside the student's field of study. Others believe that universities should not force students to take any courses other than those that will help prepare them for jobs in their chosen fields.,0,0,0,0,0,0,0
54,Claim: The best way to understand the character of a society is to examine the character of the men and women that the society chooses as its heroes or its role models. Reason: Heroes and role models reveal a society’s highest ideals.,0,0,0,0,0,0,0
55,People’s behavior is largely determined by forces not of their own making. (x2),0,0,0,0,0,0,0
56,Colleges and universities should require their students to spend at least one semester studying in a foreign country. (x4),0,0,0,0,0,0,0
57,"Claim: Any piece of information referred to as a fact should be mistrusted, since it may well be proven false in the future. Reason: Much of the information that people assume is factual actually turns out to be inaccurate.",0,0,0,0,0,0,0
58,Critical judgment of work in any given field has little value unless it comes from someone who is an expert in that field. (x2),0,0,0,0,0,0,0
59,Claim: The best way to understand the character of a society is to examine the character of the men and women that the society chooses as its heroes or its role models.Reason: Heroes and role models reveal a society's highest ideals.,0,0,0,0,0,0,0
60,Teachers' salaries should be based on the academic performance of their students.,0,0,0,0,0,0,0
61,"In any field—business, politics, education, government—those in power should be required to step down after five years.",0,0,0,0,0,0,0
62,Claim: Governments must ensure that their major cities receive the financial support they need in order to thrive.;Reason: It is primarily in cities that a nation’s cultural traditions are preserved and generated.,0,0,0,0,0,0,0
63,Education restrains the mind? (x2),0,0,0,0,0,0,0
64,The best way to teach is to praise positive actions and ignore negative ones.,0,0,0,0,0,0,0
65,The best test of an argument is the argument’s ability to convince someone with an opposing viewpoint.,0,0,0,0,0,0,0
66,We can learn much more from people whose views we share than from people whose views contradict our own.,0,0,0,0,0,0,0
67,All parents should be required to volunteer time to their children's schools.,0,0,0,0,0,0,0
68,Colleges and universities should require their students to spend at least one semester studying in a foreign country.,0,0,0,0,0,0,0
69,"Claim: Nations should suspend government funding for the arts when significant numbers of their citizens are hungry or unemployed.;Reason: It is inappropriate—and, perhaps, even cruel—to use public resources to fund the arts when people’s basic needs are not being met.",0,0,0,0,0,0,0
70,Some people claim that a nation's government should preserve its wilderness areas in their natural state. Others argue that these areas should be developed for potential economic gain.,0,0,0,0,0,0,0
71,It is primarily in cities that a nation's cultural traditions are generated and preserved.,0,0,0,0,0,0,0
72,Claim: The best test of an argument is its ability to convince someone with an opposing viewpoint.;Reason: Only by being forced to defend an idea against the doubts and contrasting views of others does one really discover the value of that idea.,0,0,0,0,0,0,0
73,Learning approach (3),0,0,0,0,0,0,0
74,Claim: Many problems of modern society cannot be solved by laws and the legal system.Reason: Laws cannot change what is in people's hearts or minds.,0,0,0,0,0,0,0
75,The primary goal of technological advancement should be to increase people's efficiency so that they have more leisure time.,0,0,0,0,0,0,0
76,Universities should require every student to take a variety of courses outside the student’s field of study. (x3),0,0,0,0,0,0,0
77,Claim: Colleges and universities should specify all required courses and eliminate elective courses in order to provide clear guidance for students.;Reason: College students—like people in general—prefer to follow directions rather than make their own decisions.,0,0,0,0,0,0,0
78,Student’s rights (4),0,0,0,0,0,0,0
79,Claim: Knowing about the past cannot help people to make important decisions today.;Reason: We are not able to make connections between current events and past events until we have some distance from both.,0,0,0,0,0,0,0
80,Claim: Major policy decisions should always be left to politicians and other government experts.;Reason: Politicians and other government experts are more informed and thus have better judgment and perspective than do members of the general public.,0,0,0,0,0,0,0
81,It is more harmful to compromise one’s own beliefs than to adhere to them.,0,0,0,0,0,0,0
82,"The general welfare of a nation’s people is a better indication of that nation’s greatness than are the achievements of its rulers, artists, or scientists.",0,0,0,0,0,0,0
83,Educational institutions should actively encourage their students to choose fields of study in which jobs are plentiful.,0,0,0,0,0,0,0
84,Claim: We can usually learn much more from people whose views we share than from those whose views contradict our own.;Reason: Disagreement can cause stress and inhibit learning.,0,0,0,0,0,0,0
85,Claim: The best test of an argument is its ability to convince someone with an opposing viewpoint.Reason: Only by being forced to defend an idea against the doubts and contrasting views of others does one really discover the value of that idea.,0,0,0,0,0,0,0
86,Educators should take students’ interests into account when planning the content of the courses they teach.,0,0,0,0,0,0,0
87,Claim: Knowing about the past cannot help people to make important decisions today.Reason: We are not able to make connections between current events and past events until we have some distance from both.,0,0,0,0,0,0,0
88,"In most professions and academic fields, imagination is more important than knowledge.",0,0,0,0,0,0,0
89,College students should base their choice of a field of study on the availability of jobs in that field. (x2),0,0,0,0,0,0,0
90,Educational institutions have a responsibility to dissuade students from pursuing fields of study in which they are unlikely to succeed.,0,0,0,0,0,0,0
91,Environment (3),0,0,0,0,0,0,0
92,"Claim: The surest indicator of a great nation is not the achievements of its rulers, artists, or scientists.;Reason: The surest indicator of a great nation is actually the welfare of all its people.",0,0,0,0,0,0,0
93,Claim: It is no longer possible for a society to regard any living man or woman as a hero. Reason: The reputation of anyone who is subjected to media scrutiny will eventually be diminished.,0,0,0,0,0,0,0
94,"In most professions and academic fields, imagination is more important than knowledge. (x2)",0,0,0,0,0,0,0
95,"Educators should base their assessment of students’ learning not on students’ grasp of facts but on the ability to explain the ideas, trends, and concepts that those facts illustrate.",0,0,0,0,0,0,0
96,Educational institutions should actively encourage their students to choose fields of study that will prepare them for lucrative careers. (x2),0,0,0,0,0,0,0
97,Government officials should rely on their own judgment rather than unquestioningly carry out the will of the people they serve. (x2),0,0,0,0,0,0,0
98,"Claim: The surest indicator of a great nation is not the achievements of its rulers, artists, or scientists.Reason: The surest indicator of a great nation is actually the welfare of all its people.",0,0,0,0,0,0,0
99,Public’s opinion (5),0,0,0,0,0,0,0
100,Claim: Imagination is a more valuable asset than experience.Reason: People who lack experience are free to imagine what is possible without the constraints of established habits and attitudes.,0,0,0,0,0,0,0
101,"Claim: In any field—business, politics, education, government—those in power should step down after five years.Reason: The surest path to success for any enterprise is revitalization through new leadership.",0,0,0,0,0,0,0
102,Job vs interest (6),0,0,0,0,0,0,0
103,Government and the arts (3),0,0,0,0,0,0,0
104,Universities should require every student to take a variety of courses outside the student's field of study.,0,0,0,0,0,0,0
105,Claim: We can usually learn much more from people whose views we share than from those whose views contradict our own.Reason: Disagreement can cause stress and inhibit learning.,0,0,0,0,0,0,0
106,Government officials should rely on their own judgment rather than unquestioningly carry out the will of the people whom they serve.,0,0,0,0,0,0,0
107,All college and university students would benefit from spending at least one semester studying in a foreign country.,0,0,0,0,0,0,0
108,"Young people should be encouraged to pursue long-term, realistic goals rather than seek immediate fame and recognition. (x2)",0,0,0,0,0,0,0
109,People's attitudes are determined more by their immediate situation or surroundings than by society as a whole.,0,0,0,0,0,0,0
110,Claim: Knowing about the past cannot help people to make important decisions today.Reason: The world today is significantly more complex than it was even in the relatively recent past.,0,0,0,0,0,0,0
111,Claim: Governments must ensure that their major cities receive the financial support they need in order to thrive.Reason: It is primarily in cities that a nation's cultural traditions are preserved and generated.,0,0,0,0,0,0,0
112,College students should base their choice of a field of study on the availability of jobs in that field.,0,0,0,0,0,0,0
113,The best test of an argument is the argument's ability to convince someone with an opposing viewpoint.,0,0,0,0,0,0,0
114,Governments should not fund any scientific research whose consequences are unclear.,0,0,0,0,0,0,0
115,Positive reinforcement (2),0,0,0,0,0,0,0
116,The best way to solve environmental problems caused by consumer-generated waste is for towns and cities to impose strict limits on the amount of trash they will accept from each household.,0,0,0,0,0,0,0
117,The best way to teach is to praise positive actions and ignore negative ones. (x2),0,0,0,0,0,0,0
118,Claim: Universities should require every student to take a variety of courses outside the student’s major field of study. Reason: Acquiring knowledge of various academic disciplines is the best way to become truly educated.,0,0,0,0,0,0,0
119,We can usually learn much more from people whose views we share than from people whose views contradict our own.,0,0,0,0,0,0,0
120,"Claim: When planning courses, educators should take into account the interests and suggestions of their students.;Reason: Students are more motivated to learn when they are interested in what they are studying.",0,0,0,0,0,0,0
